topic_id,keyword,topic_label,topic_desc
10,"['pembelajaran bahasa', 'bahasa inggris', 'pembelajaran berbasis', 'bahasa', 'english', 'meningkatkan kemampuan literasi', 'pembelajaran', 'belajar mahasiswa', 'language', 'kurikulum']",Inovasi Pembelajaran Bahasa Inggris Berbasis Teknologi dan Kebutuhan Khusus,"Topik ini mencakup penelitian dan pengabdian masyarakat yang berfokus pada pengembangan metode pembelajaran bahasa Inggris yang inovatif, termasuk pendekatan 3Gogies (Heutagogy, Peeragogy, Cybergogy), penggunaan media interaktif berbasis web untuk siswa dengan kebutuhan khusus seperti tuna rungu, serta analisis dampak pembelajaran terhadap keterampilan menulis dan literasi mahasiswa dalam bahasa Inggris."
11,"['antikanker', 'kanker', 'bahan baku obat', 'inhibitor', 'baku obat', 'kandidat obat', 'obat', 'aktivitas antikanker', 'payudara', 'cell']",Pengembangan dan Evaluasi Senyawa Antikanker untuk Kanker Payudara,"Topik ini mencakup penelitian dan pengembangan senyawa antikanker yang berfokus pada kanker payudara, dengan meneliti bahan baku obat yang berpotensi sebagai inhibitor dan kandidat obat. Penelitian ini melibatkan evaluasi efek sinergis dan kemopreventif dari berbagai senyawa, serta pengembangan senyawa turunan yang dapat meningkatkan aktivitas antikanker, terutama pada sel kanker payudara seperti T47D, dengan kombinasi agen kemoterapi."
12,"['rawan bencana', 'bencana', 'upaya mitigasi', 'banjir', 'bahaya', 'darurat', 'tsunami', 'resiko', 'risiko', 'kerentanan']",Strategi Mitigasi dan Komunikasi Risiko Bencana di Wilayah Rawan Bencana,"Topik ini mencakup penelitian dan pengabdian masyarakat yang berfokus pada upaya mitigasi bencana di wilayah rawan bencana seperti banjir, kebakaran, dan tsunami. Ini melibatkan studi tentang komunikasi risiko bencana untuk mendukung ketahanan komunitas, efektivitas mitigasi pasca bencana, serta adaptasi dan peringatan dini melalui kearifan lokal. Penelitian berfokus pada aspek kerentanan, risiko, dan bahaya dalam konteks penanganan darurat dan pengurangan risiko bencana."
13,"['ekonomi hijau', 'green economy', 'berbasis green', 'green', 'hijau', 'sustainability', 'ekonomi berkelanjutan', 'sustainable', 'ramah lingkungan', 'berkelanjutan']",Implementasi dan Pengembangan Ekonomi Hijau di Sektor Keuangan dan Industri,"Topik ini mencakup berbagai penelitian dan inisiatif pengabdian masyarakat yang berfokus pada penerapan konsep ekonomi hijau dan keberlanjutan dalam sektor keuangan dan industri. Ini melibatkan praktik green banking dan green financing untuk meningkatkan kinerja lingkungan perbankan di Indonesia, serta peran green intellectual capital dalam memoderasi inovasi hijau dan akuntansi hijau untuk meningkatkan performa perusahaan dan lingkungan. Selain itu, topik ini juga mengeksplorasi perilaku sukarela hijau dan kinerja hijau sebagai pendukung industri perhotelan yang berkelanjutan."
14,"['aktivitas antioksidan', 'antioksidan', 'senyawa bioaktif', 'bioaktivitas', 'bioaktif ekstrak', 'bioaktif', 'obat herbal', 'herbal', 'etanol', 'metabolit']",Penelitian Aktivitas Antioksidan Ekstrak Tanaman Obat,"Topik ini berfokus pada penelitian aktivitas antioksidan dari ekstrak etanol tanaman obat yang mengandung senyawa bioaktif. Penelitian ini melibatkan analisis senyawa bioaktif seperti fenolik dan flavonoid dalam berbagai tanaman seperti daun waru, daun ciplukan, dan batang teratai putih. Metode yang digunakan termasuk DPPH untuk mengukur aktivitas antioksidan. Penelitian ini bertujuan untuk mengeksplorasi potensi tanaman obat sebagai sumber antioksidan alami dalam produk perawatan kulit dan kesehatan."
15,"['ion', 'sensor', 'pengembangan sensor', 'logam', 'nanopartikel', 'nanofiber', 'oxide', 'listrik', 'nano', 'polimer']",Pengembangan dan Aplikasi Sensor Ion Berbasis Nanomaterial,"Topik ini mencakup penelitian dan pengembangan sensor ion menggunakan berbagai nanomaterial seperti nanopartikel, nanofiber, dan polimer. Fokus utama adalah pada aplikasi sensor untuk mendeteksi ion logam dan peningkatan kinerja sensor melalui modifikasi material seperti elektroda selektif ion dan material katode baterai ion litium. Penggunaan teknologi nano dan modifikasi permukaan material untuk meningkatkan sensitivitas dan selektivitas sensor juga menjadi bagian penting dari topik ini."
16,"['pengembangan model pembelajaran', 'learning berbasis', 'based learning meningkatkan', 'pengembangan perangkat pembelajaran', 'meningkatkan keterampilan berpikir', 'model pembelajaran', 'based learning berbasis', 'project based learning', 'based learning', 'problem based learning']",Pengembangan dan Implementasi Model Pembelajaran Berbasis Proyek dan Masalah untuk Meningkatkan Keterampilan Berpikir Kritis,Topik ini berfokus pada pengembangan dan penerapan model pembelajaran berbasis proyek (project-based learning) dan berbasis masalah (problem-based learning) untuk meningkatkan keterampilan berpikir kritis siswa. Penelitian dalam topik ini mengeksplorasi berbagai pendekatan seperti inquiry learning dan socio scientific issues untuk mengintegrasikan keterampilan berpikir kritis dan proses sains dalam pendidikan menengah.
17,"['ayam', 'pangan fungsional', 'telur', 'tepung', 'daging', 'pangan', 'protein', 'bioteknologi', 'ikan patin', 'suplementasi']",Inovasi Pangan Fungsional Berbasis Ayam dan Ikan Patin,"Topik ini mencakup penelitian dan pengabdian masyarakat yang berfokus pada pengembangan pangan fungsional dengan memanfaatkan ayam dan ikan patin sebagai sumber protein. Inovasi ini melibatkan penggunaan bioteknologi dan suplementasi untuk meningkatkan nilai gizi produk seperti daging ayam dan telur, serta mengintegrasikan bahan-bahan seperti tepung daun kelor dan miana untuk memperkaya kandungan mikronutrien dan omega-3. Tujuannya adalah untuk menghasilkan produk pangan yang tidak hanya bergizi tinggi tetapi juga berperan dalam pencegahan masalah kesehatan seperti stunting."
18,"['penderita diabetes', 'diabetes', 'kadar glukosa', 'glukosa', 'glukosa darah', 'insulin', 'kadar glukosa darah', 'metabolomik', 'gula', 'senyawa metabolit']",Pengembangan Bahan Alami untuk Pengelolaan Diabetes,"Topik ini berfokus pada penelitian dan pengembangan bahan alami seperti ekstrak tanaman untuk mengelola diabetes, dengan menekankan pada pengaruhnya terhadap kadar glukosa darah dan kesehatan organ seperti hati, ginjal, dan pankreas. Penelitian ini menggunakan model hewan untuk mengevaluasi efek antidiabetes dari ekstrak tanaman dan senyawa metabolit lainnya."
19,"['nanopartikel', 'nanofiber', 'aktivitas antioksidan', 'obat', 'antioksidan', 'nano', 'drug', 'ekstrak daun', 'pengobatan', 'antikanker']",Pengembangan Formulasi Nano untuk Peningkatan Efikasi Terapi Herbal,"Topik ini berfokus pada inovasi dan pengembangan sediaan berbasis nanoteknologi, seperti nanopartikel dan nanofiber, yang mengandung ekstrak daun dari berbagai tanaman untuk meningkatkan aktivitas antioksidan dan efikasi terapi, termasuk pengobatan luka diabetik dan terapi antikanker. Penelitian ini mencakup formulasi sistem pengantaran obat nanoemulsi dan self-nano emulsifying drug delivery system (SNEDDS) untuk meningkatkan efikasi pengobatan herbal."
20,"['bayi', 'ibu', 'balita', 'perawatan', 'terapi', 'upaya pencegahan stunting', 'kesehatan mental', 'upaya pencegahan', 'efficacy', 'pencegahan stunting']",Pendekatan Terintegrasi untuk Pencegahan Stunting dan Kesehatan Ibu-Bayi,"Topik ini mencakup penelitian dan pengabdian masyarakat yang berfokus pada upaya pencegahan stunting dan peningkatan kesehatan mental serta fisik ibu dan bayi. Ini melibatkan pengembangan aplikasi, terapi, dan intervensi yang bertujuan untuk meningkatkan keterampilan ibu dalam merawat bayi, pengolahan MPASI, dan mengatasi tantangan kesehatan mental seperti postpartum blues. Efektivitas dari berbagai pendekatan ini dievaluasi untuk meningkatkan kesejahteraan ibu dan anak."
21,"['limbah biomassa', 'biomassa', 'limbah organik', 'bahan bakar', 'biokomposit', 'organik', 'sintesis', 'oil', 'minyak', 'katalis']",Pemanfaatan Limbah Biomassa untuk Produksi Bahan Bakar Alternatif dan Biokomposit,"Topik ini berfokus pada pengembangan dan sintesis katalis untuk memanfaatkan limbah biomassa dan limbah organik sebagai sumber bahan bakar alternatif dan biokomposit. Penelitian mencakup penggunaan berbagai teknik seperti pirolisis dan oligomerisasi untuk mengkonversi limbah minyak dan plastik menjadi bahan bakar yang lebih ramah lingkungan. Inovasi dalam katalis, seperti zeolit dan mesopori, serta penggunaan bahan seperti niobium phosphat dan dolomit terimpregnasi platinum, merupakan bagian integral dari upaya ini untuk menghasilkan bahan bakar bebas sulfur dan meningkatkan efisiensi proses konversi."
22,"['waste', 'strategi pengelolaan', 'sampah', 'lingkungan', 'pengelolaan', 'kota makassar model', 'berkelanjutan', 'sumberdaya', 'berbasis masyarakat', 'ekonomi sirkular']",Pengelolaan Sampah Berbasis Masyarakat dan Ekonomi Sirkular di Kota Makassar,"Topik ini membahas strategi pengelolaan sampah yang berfokus pada pendekatan berbasis masyarakat dan penerapan ekonomi sirkular di lingkungan perkotaan, khususnya di Kota Makassar. Penelitian dan pengabdian ini mencakup pengembangan model pengelolaan sampah yang berkelanjutan, termasuk inisiatif seperti bank sampah, perubahan perilaku masyarakat dalam pembuangan sampah, serta pemanfaatan teknologi digital untuk mendukung pengelolaan sumber daya dan lingkungan secara efektif."
23,"['kinerja keuangan', 'perbankan', 'akuntansi', 'keuangan', 'financial', 'banking', 'keuangan umkm', 'bank', 'risk', 'risiko']",Analisis Kinerja Keuangan dan Risiko di Sektor Perbankan dan Keuangan,"Topik ini mencakup penelitian dan studi empiris yang berfokus pada kinerja keuangan, risiko, dan pengelolaan dalam sektor perbankan dan keuangan. Ini termasuk analisis rasio keuangan, pengaruh faktor ESG (Environmental, Social, and Governance) terhadap nilai perusahaan, serta pencegahan fraud melalui teknologi finansial dan kontrol internal. Fokus juga diberikan pada perbankan syariah, UMKM, dan pengelolaan risiko di industri keuangan."
24,"['kesehatan mental', 'keluarga', 'family', 'psikoedukasi', 'psikologis', 'anak usia', 'meningkatkan kesehatan', 'anak usia dini', 'dukungan', 'wellbeing']",Intervensi Psikoedukasi untuk Kesehatan Mental Keluarga dan Anak,"Topik ini mencakup penelitian dan pengabdian masyarakat yang berfokus pada intervensi psikoedukasi untuk meningkatkan kesehatan mental dan wellbeing dalam konteks keluarga, terutama bagi anak usia dini. Program-program dalam topik ini melibatkan dukungan psikologis dan strategi pendampingan yang ditujukan untuk keluarga yang menghadapi tantangan kesehatan mental, termasuk upaya untuk mencegah stunting pada balita, menurunkan ide bunuh diri pada remaja, serta meningkatkan kemampuan keluarga dalam merawat anggota dengan gangguan jiwa melalui pendekatan berbasis teori dan asesmen keluarga."
25,"['pengelolaan keuangan', 'inklusi keuangan', 'kinerja keuangan', 'finansial', 'financial', 'keuangan', 'keuangan umkm', 'perbankan', 'akuntansi', 'bank']",Inklusi dan Literasi Keuangan untuk Peningkatan Kinerja Keuangan UMKM dan Individu,"Topik ini mencakup penelitian dan pengabdian masyarakat yang berfokus pada pengelolaan dan peningkatan kinerja keuangan melalui inklusi dan literasi keuangan. Melibatkan peran teknologi keuangan (fintech) dalam mendukung UMKM, khususnya wirausaha perempuan, dan generasi muda dalam pengambilan keputusan finansial, topik ini juga mengeksplorasi keberlanjutan keuangan dan dampak dari literasi keuangan digital."
26,"['pertanian', 'budidaya', 'padi', 'kacang', 'petani', 'tanaman', 'tepung', 'organik', 'ketahanan pangan', 'pangan fungsional']",Inovasi Pertanian untuk Ketahanan Pangan,"Topik ini mencakup penelitian dan pengabdian masyarakat yang berfokus pada pengembangan budidaya padi dan kacang dengan pendekatan organik dan inovatif untuk meningkatkan ketahanan pangan. Penelitian meliputi ekspresi genetik padi, integrasi sistem pertanian seperti padi-itik-azola, serta pengujian varietas padi baru yang berumur genjah dan berproduksi tinggi. Tujuannya adalah untuk meningkatkan hasil panen dan mempromosikan pangan fungsional yang bermanfaat bagi petani dan masyarakat luas."
27,"['konstruksi', 'struktur', 'material', 'mekanik', 'infrastruktur', 'fisik', 'bina', 'bangunan', 'bahan dasar', 'batu']",Penelitian dan Pengembangan Material dan Struktur Bangunan,"Topik ini mencakup penelitian tentang sifat mekanik dan penggunaan material dalam konstruksi bangunan, termasuk studi eksperimental dan analisis numerikal tentang struktur baja dan beton, serta pengaruh penggunaan bahan tambahan seperti abu terbang pada bata ringan dan penguatan struktur jembatan terhadap beban siklik."
28,"['usaha milik desa', 'pembangunan berkelanjutan', 'berkelanjutan berbasis', 'milik desa', 'berkelanjutan model', 'pengentasan kemiskinan', 'strategi pengelolaan', 'kawasan konservasi', 'pengembangan ekowisata', 'berkelanjutan kabupaten']",Pengembangan Berkelanjutan Usaha Milik Desa dan Ekowisata,"Topik ini mencakup strategi dan model pengelolaan usaha milik desa yang berfokus pada pembangunan berkelanjutan, pengentasan kemiskinan, dan pengembangan ekowisata. Penelitian dan pengabdian masyarakat dalam topik ini menyoroti pentingnya modal sosial, manajemen mutu terpadu, dan pemberdayaan masyarakat dalam mendukung keberlanjutan desa, terutama di kawasan konservasi dan daerah penyangga. Studi kasus dan model pertanggungjawaban badan usaha milik desa (BUMDes) dijadikan alat untuk mencapai tujuan pembangunan desa yang berkelanjutan."
29,"['karyawan', 'pekerja', 'organizational', 'wellbeing', 'peningkatan kompetensi', 'kepuasan', 'motivasi', 'peningkatan kinerja', 'budaya organisasi', 'meningkatkan kinerja']",Peningkatan Kinerja dan Kepuasan Karyawan melalui Dukungan Organisasi dan Pengembangan Kompetensi,"Topik ini membahas berbagai faktor yang mempengaruhi kinerja dan kepuasan karyawan dalam konteks organisasi. Fokus utama adalah pada bagaimana dukungan organisasi yang dirasakan, pemberdayaan psikologis, dan kepuasan karir dapat meningkatkan keterlibatan karyawan dan niat untuk tetap bekerja. Penelitian ini juga menyoroti pentingnya budaya organisasi dan pengembangan kompetensi dalam meningkatkan motivasi dan kinerja karyawan, dengan perhatian khusus pada perilaku kewargaan organisasi dan ketahanan tenaga kerja dalam menghadapi tantangan pekerjaan."
30,"['islam', 'muhammadiyah', 'syariah', 'beragama', 'agama', 'media pembelajaran', 'pembelajaran pendidikan', 'kurikulum', 'profil pelajar pancasila', 'pendidikan']",Integrasi Nilai Islam dalam Pendidikan dan Media Pembelajaran,"Topik ini mengeksplorasi pengaruh dan implementasi nilai-nilai Islam, khususnya dalam konteks Muhammadiyah, terhadap pendidikan dan media pembelajaran. Fokusnya mencakup peran syariah dan agama dalam kurikulum, serta bagaimana nilai-nilai ini membentuk profil pelajar Pancasila. Penelitian juga mencakup kajian tentang branding dan reputasi lembaga pendidikan Islam, serta bagaimana identitas Islam di Indonesia dan di luar negeri dipahami dan direpresentasikan melalui media dan pendidikan."
31,"['latihan', 'aktivitas fisik', 'training', 'skills', 'olahraga', 'keterampilan', 'activity', 'fisik', 'ergonomi', 'kompetensi']",Pengembangan Model Latihan dan Pembelajaran Olahraga Berbasis Teknologi,"Topik ini mencakup pengembangan dan penerapan model latihan dan pembelajaran keterampilan olahraga untuk berbagai kelompok usia, dengan fokus pada peningkatan aktivitas fisik dan keterampilan melalui pendekatan ergonomis dan teknologi seperti mobile learning dan Internet of Things. Penelitian mencakup teknik jatuhan dalam pencak silat, pembelajaran fisik berbasis teknologi untuk anak-anak, dan perangkat pendukung latihan seperti gelang deteksi detak nadi untuk olahraga bolavoli."
32,"['anak berbasis', 'anak melalui', 'upaya pencegahan', 'preventif', 'korban', 'strategi pencegahan', 'kesetaraan gender', 'penanganan', 'intervensi', 'pencegahan']",Strategi Pencegahan dan Penanganan Kekerasan Seksual terhadap Anak,"Topik ini berfokus pada upaya pencegahan dan penanganan kekerasan seksual terhadap anak dengan pendekatan berbasis anak. Ini mencakup strategi preventif dan intervensi untuk melindungi anak-anak sebagai korban, serta pemenuhan hak-hak mereka termasuk restitusi. Selain itu, topik ini juga mengeksplorasi sistem informasi dan model perlindungan yang melibatkan aspek hukum, kesehatan, dan pendidikan untuk memastikan kesetaraan gender dan perlindungan yang efektif."
33,"['mangrove', 'ekosistem', 'kawasan konservasi', 'konservasi', 'ekologi', 'biodiversitas', 'hutan', 'mitigasi perubahan iklim', 'perubahan iklim', 'iklim']",Konservasi dan Pengelolaan Ekosistem Mangrove untuk Mitigasi Perubahan Iklim,"Topik ini mencakup penelitian dan kegiatan pengabdian masyarakat yang berfokus pada ekosistem mangrove sebagai kawasan konservasi penting. Dengan fokus pada aspek ekologi dan biodiversitas, topik ini mengeksplorasi berbagai model pengelolaan dan teknik konservasi yang bertujuan untuk menjaga keberlanjutan hutan mangrove. Selain itu, topik ini menyoroti peran mangrove dalam sekuestrasi karbon dan mitigasi perubahan iklim, termasuk studi kasus dan teknik bioremediasi untuk meningkatkan kualitas ekosistem mangrove."
34,"['kualitas hidup pasien', 'kepatuhan pengobatan', 'hidup pasien', 'pasien', 'pengobatan', 'obat', 'klinis', 'terapi', 'kesehatan', 'health']",Kepatuhan Pengobatan dan Kualitas Hidup Pasien Tuberkulosis,"Topik ini berfokus pada hubungan antara kepatuhan pengobatan dan kualitas hidup pasien tuberkulosis, termasuk analisis efektivitas terapi obat, efek samping obat, dan metode prediksi lama pengobatan dengan mempertimbangkan kepatuhan pasien dalam minum obat."
35,"['pembelajaran digital', 'literasi digital', 'kompetensi digital', 'meningkatkan literasi', 'berbasis literasi', 'digital pengembangan', 'learning berbasis', 'digital berbasis', 'pengembangan pembelajaran', 'digital meningkatkan']",Pengembangan Pembelajaran Berbasis Digital untuk Meningkatkan Literasi dan Kompetensi Digital,"Topik ini berfokus pada pengembangan metode pembelajaran berbasis digital untuk meningkatkan literasi dan kompetensi digital peserta didik. Melalui integrasi teknologi dan sumber daya multimedia dalam kurikulum, seperti emodul dan pembelajaran berbasis autentik, diharapkan dapat meningkatkan keterampilan literasi digital dan pencapaian kompetensi abad 21. Penelitian ini menyoroti pentingnya literasi digital dalam pendidikan modern dan bagaimana pendekatan berbasis literasi dapat mengembangkan pembelajaran yang lebih efektif dan relevan dengan kebutuhan peserta didik."
36,"['layanan kesehatan', 'rumah sakit', 'pasien', 'medis', 'kesehatan', 'kemandirian kesehatan', 'layanan', 'health', 'pelayanan', 'klinis']",Peningkatan Layanan Kesehatan di Rumah Sakit,"Topik ini mencakup penelitian dan pengabdian masyarakat yang berfokus pada peningkatan layanan kesehatan di rumah sakit. Ini termasuk peran karakteristik individu dan lingkungan kerja dalam kinerja pelayanan, dampaknya terhadap kepuasan pengguna layanan, serta pentingnya transformasi digital dalam meningkatkan akses pengetahuan dan pengambilan keputusan pasien. Selain itu, topik ini juga membahas gaya kepemimpinan dan manajemen rumah sakit untuk mendukung kemandirian kesehatan dan efisiensi pelayanan medis."
37,"['penderita diabetes', 'diabetes', 'glukosa', 'kadar glukosa darah', 'glukosa darah', 'kualitas hidup pasien', 'hidup pasien', 'kemandirian kesehatan', 'kepatuhan pengobatan', 'kesehatan']",Manajemen dan Kualitas Hidup Penderita Diabetes,"Topik ini membahas tentang berbagai aspek yang berkaitan dengan pengelolaan diabetes, termasuk penggunaan insulin, kepatuhan terhadap pengobatan, serta pengaruhnya terhadap kualitas hidup dan kemandirian kesehatan pasien. Penelitian fokus pada hubungan antara durasi menderita diabetes, perilaku manajemen diri, dan potensi komplikasi yang dialami oleh penderita diabetes melitus tipe 2. Selain itu, topik ini juga mengeksplorasi efektivitas model perawatan yang dapat meningkatkan kualitas hidup pasien diabetes."
38,"['tulang', 'bone', 'regenerasi', 'rekonstruksi', 'biomolekuler', 'nanofiber', 'nano', 'protein', 'selulosa', 'cangkang']",Inovasi Biomaterial untuk Regenerasi dan Rekonstruksi Tulang,"Topik ini mencakup penelitian dan pengembangan biomaterial berbasis nanoteknologi dan biomolekuler untuk aplikasi regenerasi dan rekonstruksi tulang. Fokusnya adalah pada penggunaan material seperti nanofiber, selulosa, dan protein dari sumber alami seperti cangkang telur untuk menciptakan scaffold atau perancah tulang yang dapat mempercepat proses penyembuhan dan regenerasi tulang, termasuk penggunaan bone graft dan perancah nanobiokeramik dengan osteoinduktivitas tinggi untuk aplikasi pada defek tulang alveolar dan celah lelangit."
39,"['kesetaraan gender', 'gender melalui', 'peran perempuan', 'gender', 'wanita', 'perempuan', 'berbasis modal sosial', 'kesetaraan', 'sosial', 'budaya']",Pemberdayaan Perempuan dan Kesetaraan Gender Berbasis Sosial dan Budaya,"Topik ini membahas tentang berbagai inisiatif dan strategi untuk meningkatkan peran serta pemberdayaan perempuan dalam masyarakat, dengan fokus pada kesetaraan gender melalui pendekatan berbasis modal sosial dan budaya. Penelitian dan pengabdian masyarakat dalam topik ini mencakup pemberdayaan ekonomi perempuan, pengarusutamaan gender, dan upaya legislator perempuan dalam memperjuangkan kebijakan yang berorientasi pada kesetaraan gender."
40,"['degradasi', 'limbah organik', 'warna', 'pewarna', 'nanopartikel', 'sintesis', 'organik', 'komposit', 'biokomposit', 'pengembangan material']",Pengembangan dan Aplikasi Komposit untuk Degradasi Limbah Pewarna Organik,"Topik ini berfokus pada penelitian dan pengembangan material komposit dan biokomposit, termasuk penggunaan nanopartikel dan metal-organic frameworks, untuk aplikasi degradasi dan penjerapan limbah organik, khususnya pewarna. Penelitian ini melibatkan sintesis material komposit inovatif seperti komposit MnOFe3O4 dan ZnORGO, serta aplikasi teknologi fotokatalis dan Fenton katalis untuk meningkatkan efisiensi degradasi zat warna seperti Remazol Brilliant Blue R dalam limbah industri seperti limbah batik."
