title,abstract,pubdate
"Pengaruh Penggunaan Kecerdasan Buatan (AI) dalam Pengajaran dan Pembelajaran Terbeza Guru Bahasa Melayu di Sarawak, Malaysia","Penggunaan teknologi Kecerdasan Buatan (AI) dalam bidang pendidikan telah menjadi subjek perbincangan yang semakin penting dalam usaha meningkatkan kualiti pengajaran dan pembelajaran, terutama dalam konteks pembelajaran terbeza dalam subjek bahasa Melayu. Sarawak, sebagai sebuah negeri di Malaysia, telah menunjukkan minat yang signifikan dalam mengadopsi teknologi AI dalam sistem pendidikan. Kajian ini mengkaji pengaruh penggunaan AI dalam pengajaran dan pembelajaran terbeza guru bahasa Melayu di sekolah-sekolah di Sarawak, dengan menumpukan kepada kejayaan, cabaran, dan peluang yang terlibat. Metodologi penyelidikan yang digunakan adalah campuran tinjauan literatur dan penyelidikan lapangan. Data dikumpulkan melalui temu ramah dengan guru, pelajar, dan pentadbir sekolah yang telah menerapkan teknologi AI dalam pengajaran dan pembelajaran terbeza di 15 buah sekolah di negeri Sarawak. Analisis data dilakukan menggunakan pendekatan kualitatif untuk mengenal pasti corak umum, persamaan, dan perbezaan dalam pengalaman mereka. Hasil kajian menunjukkan bahawa penggunaan AI telah memberi impak positif dalam pengajaran dan pembelajaran terbeza di sekolah-sekolah di Sarawak. Guru melaporkan peningkatan dalam keupayaan mereka untuk menyesuaikan bahan pengajaran dengan gaya pembelajaran pelajar yang berbeza, manakala pelajar melaporkan peningkatan dalam motivasi dan pencapaian akademik. Walaupun demikian, cabaran seperti kurangnya kemahiran teknikal dan kos implementasi masih menjadi halangan dalam penggunaan teknologi AI di beberapa sekolah. Kesimpulannya, penggunaan AI dalam pengajaran dan pembelajaran terbeza menjanjikan pelbagai manfaat bagi pelajar dan guru di Sarawak, tetapi cabaran tertentu perlu diatasi untuk memastikan integrasi yang lebih meluas dan berterusan teknologi ini dalam sistem pendidikan. Collapse",30 April 2024
MANFAAT KECERDASAN BUATAN UNTUK PENDIDIKAN,"Pemanfaatan kecerdasan buatan (AI) dalam pendidikan telah menjadi subjek yang menarik perhatian akademisi dan praktisi pendidikan. Dalam konteks ini, penelitian ini bertujuan untuk mengeksplorasi manfaat AI dalam pembelajaran, pengembangan metode pengajaran, serta peningkatan efektivitas secara keseluruhan. Melalui metode penelitian deskriptif dan analisis komprehensif, penelitian ini mengidentifikasi manfaat AI dalam personalisasi pembelajaran, pengajaran adaptif, analisis data pendidikan, serta peningkatan akses global terhadap pendidikan. Namun, penerapan AI juga menimbulkan sejumlah tantangan dan kekhawatiran etika, seperti bias algoritma, privasi dan keamanan data, ketergantungan teknologi, dan kurangnya pelatihan guru. Oleh karena itu, penelitian ini memberikan saran-saran untuk mengelola tantangan tersebut secara bijaksana, termasuk pengelolaan bias algoritma, perlindungan privasi data, keterlibatan manusia yang cukup, transparansi algoritma, pelatihan guru yang memadai, dan pertimbangan etika dalam pengambilan keputusan karier. Dengan pendekatan yang hati-hati terhadap tantangan dan saran-saran ini, integrasi AI dalam pendidikan dapat memberikan manfaat maksimal sambil menjaga keadilan, privasi, dan keterlibatan manusia yang penting dalam proses pendidikan. Collapse",25 September 2023
Transformasi Kurikulum; Kecerdasan Buatan untuk Membangun Pendidikan yang Relevan di Masa Depan,"Transformasi kurikulum adalah proses penting dalam memastikan pendidikan yang relevan di masa depan. Dalam era perubahan cepat yang ditandai oleh kemajuan teknologi, kecerdasan buatan (AI) telah muncul sebagai kekuatan pendorong yang kuat dalam mengubah berbagai aspek kehidupan manusia, termasuk pendidikan. Tulisan ini bertujuan untuk mengeksplorasi peran kecerdasan buatan dalam membangun pendidikan yang relevan di masa depan melalui transformasi kurikulum. Transformasi kurikulum melibatkan peninjauan dan penyesuaian konten, metode pengajaran, dan pendekatan evaluasi untuk memastikan relevansi pendidikan dengan kebutuhan dan tuntutan zaman. Kecerdasan buatan , dengan kemampuannya untuk mengumpulkan, menganalisis, dan memproses data besar dengan cepat, memberikan potensi besar untuk memperbaiki kurikulum yang ada dan menciptakan pendidikan yang lebih relevan. Kecerdasan buatan memungkinkan adanya pembelajaran yang personal dan disesuaikan dengan kebutuhan individu. AI dapat menganalisis data belajar siswa secara mendalam dan memberikan rekomendasi pembelajaran yang sesuai dengan kemampuan dan minat mereka. Pembahasan tentang bagaimana pendekatan ini dapat meningkatkan keterlibatan dan prestasi siswa. Dalam era digital, data belajar yang dihasilkan oleh siswa sangat melimpah. Kecerdasan buatan dapat menganalisis big data ini untuk mengidentifikasi pola dan tren yang dapat membantu meningkatkan kurikulum. Penjelasan tentang bagaimana analisis data dapat digunakan untuk mengidentifikasi kekuatan dan kelemahan kurikulum saat ini, serta mengarah pada penyesuaian yang diperlukan. Dalam era digital yang terus berkembang, pendidikan harus terus beradaptasi untuk mempersiapkan generasi masa depan. Penggunaan kecerdasan buatan dalam transformasi kurikulum adalah langkah maju yang penting menuju pendidikan yang relevan dan adaptif. Dengan pendekatan personalisasi, analisis big data, pembelajaran adaptif, dan mengatasi tantangan yang ada, kita dapat membangun sistem pendidikan yang mampu memenuhi tuntutan zaman dan membawa manfaat yang besar bagi siswa. Masa depan pendidikan yang relevan dan adaptif sedang menanti kita, dan kecerdasan buatan adalah kunci untuk mewujudkannya Collapse",1 July 2023
Penggunaan Kecerdasan Buatan Pelajar Kolej Komuniti Kemaman,"Kajian membicarakan penggunaan kecerdasan buatan (AI) dalam pembelajaran pengaturcaraan di Kolej Komuniti Kemaman. Penggunaan AI, khususnya aplikasi ChatGPT, dapat membantu pelajar menangani cabaran dalam pembelajaran pengaturcaraan. Objektif kajian adalah untuk menilai pengaruh AI terhadap pemikiran komputasi, pembelajaran kendiri, dan motivasi pelajar. Melalui analisis data dari kumpulan eksperimen dan kumpulan kawalan, ditemui bahawa penggunaan AI menunjukkan peningkatan yang signifikan dalam pemikiran komputasi, pembelajaran kendiri, dan motivasi pelajar Hasil kajian menunjukkan bahawa penggunaan AI, khususnya aplikasi ChatGPT, memberi impak positif terhadap pembelajaran pengaturcaraan dalam kalangan pelajar Kolej Komuniti Kemaman. Kajian juga mencadangkan penggunaan teknologi kecerdasan buatan secara lebih efektif untuk meningkatkan produktiviti pengajaran dan pembelajaran dalam konteks kursus pengaturcaraan di institusi pendidikan seperti kolej komuniti. Collapse",1 March 2024
Kefahaman dan Penggunaan Kecerdasan Buatan (AI) dalam Pengajaran dan Pembelajaran Guru Prasekolah di Daerah Semporna,"Penggunaan kecerdasan buatan (AI) di Malaysia telah mengalami perkembangan yang pesat seiring dengan kemajuan teknologi global dan inisiatif kerajaan untuk mendigitalkan ekonomi negara. Dengan kemajuan teknologi, AI terus berkembang dan semakin diaplikasikan terutama dalam sistem pendidikan untuk memperkayakan lagi proses pengajaran dan pembelajara. Tujuan kajian ini dijalankan ialah untuk mengkaji tahap kefahaman dan penggunaan guru prasekolah berkaitan kecerdasan buatan (AI) dalam pengajaran dan pembelajaran di dalam bilik darjah. Namun begitu, tahap kefahaman dan penggunaan kecerdasan buatan (AI) dalam kalangan guru prasekolah masih kurang diketahui. Kajian ini menggunakan pendekatan kuantitatif sebagai reka bentuk penyelidikan. Seramai 52 orang guru prasekolah di daerah Semporna, Sabah dipilih secara rawak untuk dijadikan sebagai sampel kajian. Satu set soal selidik digunakan sebagai instrumen untuk mengukur tahap kefahaman dan penggunaan kecerdasan buatan (AI) dalam pengajaran dan pembelajaran guru prasekolah di daerah Semporna. Data yang diperoleh dianalisis menggunakan perisian Statistical Package for Social Science (SPSS) melibatkan statistik deskriptif dan analisis inferensi. Dapatan kajian menunjukkan majoriti guru prasekolah di kawasan kajian mempunyai tahap kefahaman yang sederhana walaupun mempunyai minat yang tinggi terhadap penggunaan kecerdasan buatan (AI) dalam pengajaran dan pembelajaran. Walaupun mempunyai minat yang tinggi terhadap penggunaan (AI), namun terdapat beberapa halangan yang dikenalpasti termasuk kekurangan latihan, sumber yang terhad dan kebimbangan mengenai kesan kecerdasan buatan (AI) terhadap peranan guru. Kajian ini diharapkan dapat memberi sumbangan dalam usaha meningkatkan kualiti pendidikan prasekolah di Malaysia melalui penggunaan teknologi terkini. Collapse",11 November 2024
Peningkatan Efektivitas Project-Based Learning Melalui Integrasi Kecerdasan Buatan,"Perkembangan pesat teknologi kecerdasan buatan (AI) membuka peluang sekaligus tantangan baru dalam implementasi Project-Based Learning (PjBL). Kegiatan pengabdian kepada masyarakat ini bertujuan meningkatkan efektivitas PjBL melalui integrasi AI, fokus pada pengembangan kompetensi guru. Menggunakan pendekatan mixed-method, studi ini melibatkan survei pra-pelatihan dan program pelatihan intensif tiga hari untuk 95 guru dari SMP/SMA Regina Pacis Surakarta dan SMP Maria Assumpta Klaten. Materi mencakup eksplorasi Generative AI Tools, aplikasi interaktif, dan integrasi AI dalam PjBL. Hasil survei pra-pelatihan menunjukkan penggunaan teknologi dasar tinggi (rata-rata 4.59/5 untuk komputer/laptop) namun minat moderat terhadap AI (rata-rata 46/100). Analisis ANOVA mengungkap perbedaan signifikan penggunaan teknologi berdasarkan usia, guru muda menunjukkan adopsi lebih tinggi. Selama pelatihan, peserta mendemonstrasikan peningkatan pemahaman dan keterampilan mengintegrasikan AI dan teknologi interaktif ke PjBL, meski tantangan seperti kesenjangan literasi digital dan kekhawatiran etis tetap ada. Peserta berhasil mengembangkan proyek pembelajaran terintegrasi AI inovatif, namun pemahaman mendalam prinsip-prinsip PjBL masih perlu ditingkatkan. Temuan menegaskan efektivitas program dalam menjembatani kesenjangan antara potensi AI dan implementasinya dalam PjBL, sekaligus mengidentifikasi kebutuhan pengembangan profesional berkelanjutan. Implikasi mencakup perlunya dukungan berkelanjutan bagi guru, pengembangan kerangka kerja etis penggunaan AI dalam pendidikan, dan kolaborasi multi-stakeholder untuk implementasi AI dalam PjBL yang efektif dan bertanggung jawab. Collapse",26 August 2024
Pengembangan Sistem Rekomendasi Berbasis Kecerdasan Buatan Untuk Meningkatkan Pengalaman Pengguna Di Platform E-Commerce,"Tujuan penelitian ini adalah untuk mengembangkan sistem rekomendasi berbasis kecerdasan buatan (AI) yang dapat meningkatkan pengalaman pengguna dan konversi penjualan di platform e-commerce. Permasalahan utama dalam penelitian ini adalah kebutuhan akan sistem rekomendasi yang dapat menyajikan rekomendasi produk yang lebih relevan dan personal kepada pengguna, sehingga dapat meningkatkan kemungkinan konversi penjualan dan memperkuat hubungan antara platform dan pembeli. Metode penelitian yang digunakan mencakup analisis data menyeluruh untuk memahami preferensi dan perilaku pengguna. Selain itu, model rekomendasi berbasis kecerdasan buatan dibuat dengan menggunakan teknik pengajaran mesin dan analisis data untuk memberikan pengalaman berbelanja yang lebih memuaskan bagi pengguna. Hasil penelitian menunjukkan bahwa sistem rekomendasi berbasis AI dapat meningkatkan pengalaman pengguna dengan menyajikan rekomendasi produk yang sesuai dengan minat dan kebutuhan pengguna. Selain itu, sistem ini berhasil meningkatkan konversi penjualan dengan mengoptimalkan strategi pemasaran dan memberikan manfaat operasional dalam bentuk efisiensi kerja. Oleh karena itu, penelitian ini membantu memahami peran sistem rekomendasi Collapse",11 February 2024
Legality of Artificial Intelligence (AI) Technology in Public Service Transformation: Possibilities and Challenges,"The purpose of this study is to analyze and formulate transformation policies in public services based on the use of information technology in the 5.0 era. This research is normative juridical research, with the empirical, case, and conceptual approaches, secondary data-based data sources analyzed by descriptive analysis. The results of the study show that the use of technology in the 5.0 era is relevant is Artificial Intelligence (AI) technology; this technology can be used in the context of public services in the cash transfer sector and also in services in the security sector, in the public service sector in the context of providing cash assistance. AI technology is used to process and analyze beneficiary data, and in the security sector, AI technology can be used to predict crime and recommend the presence of security forces. AI can also be used to detect faces where AI can guarantee greater accuracy than humans in face and time police officers. The use of AI in the context of public services has had an impact, namely in the form of a reduction in the role of humans in public services, in addition to placing AI at the forefront of public services, making public service interactions no longer person to person but the person to machine. The challenge of using AI in the public service sector is the very minimal readiness to operationalize the use of AI by the government.  Abstrak
Tujuan dari penelitian ini adalah menganalisis dan merumuskan kebijakan transformasi dalam pelayanan publik berbasis pemanfaatan teknologi informasi di era 5.0. Penelitian ini merupakan penelitian yuridis normatif, dengan pendekatan empiris, kasus dan konseptual, berdasarkan sumber data sekunder yang dianalisis dengan metode analisis deskriptif. Hasil kajian menunjukkan bahwa pemanfaatan teknologi di era 5.0 yang relevan adalah teknologi Artificial Intelligence (AI), teknologi ini dapat digunakan dalam konteks pelayanan publik di bidang transfer tunai dan juga dalam pelayanan di bidang keamanan. , di bidang pelayanan publik dalam rangka pemberian bantuan tunai. Teknologi AI digunakan untuk mengolah dan menganalisis data penerima manfaat dan pada bidang keamanan teknologi AI dapat digunakan untuk memprediksi kejahatan dan merekomendasikan keberadaan aparat keamanan selain AI juga dapat digunakan untuk mendeteksi wajah dimana AI dapat menjamin akurasi yang lebih besar dari manusia dalam menghadapi dan petugas polisi waktu. penggunaan AI dalam konteks pelayanan publik telah memberikan dampak yaitu berupa pengurangan peran manusia dalam pelayanan publik, selain menempatkan AI sebagai garda terdepan dalam pelayanan publik, membuat interaksi pelayanan publik tidak lagi bersifat personal. ke orang tetapi orang ke mesin. tantangan penggunaan AI di sektor pelayanan publik adalah kesiapan yang sangat minim untuk mengoperasionalkan penggunaan AI oleh pemerintah.
Kata kunci: Kecerdasan buatan , Pelayanan public, Penggunaan Teknologi Informasi Collapse",30 July 2021
REGULASI PENYIMPANGAN ARTIFICIAL INTELLIGENCE PADA TINDAK PIDANA MALWARE BERDASARKAN UNDANG-UDANG REPUBLIK INDONESIA NOMOR 19 TAHUN 2016,"AbstrakPenelitian ini bertujuan untuk mengetahui pengaturan pidana penerapan artificial intelligence pada  tindak pidana malware berdasarkan Undang-Undang nomor 19 tahun 2016 tentang perubahan atas Undang-Undang nomor 11 tahun 2008 tentang Informasi dan Transaksi Elektronik. Penelitian ini termasuk jenis penelitian hukum normatif yang bersifat preskriptif dengan pendekatan undang-undang (statue approach) dan pendekatan konseptual (conseptual approach). Penelitian menggunakan bahan hukum primer, sekunder dan bahan non hukum yang berkaitan. Perkembangan teknologi telah merubah kehidupan masyarakat, akibat perkembangan tersebut dunia menambah dimensi kehidupan yang mana hal itu selaras dengan berkembangnya kejahatan teknologi. Dalam penelitian ini menghasilkan bahwa penerapan AI dalam tindak pidana malware merupakan kategori computer-related crime karena pemanfaatan komputer dan teknologi AI sebagai alat bantu dalam melakukan kejahatan. Aturan-aturan pidana yang dapat menjerat perbuatan tersebut adalah KUHP, UU Hak Cipta, UU TPPU, UU Transfer  Dana, UU Dokumen Perusahaan, Permenkominfo no 20 tahun 2016 dan UU Terorisme. Namun UU ITE  sebagai lex specialis  dan lex posterior merupakan hukum positif yang paling tepat dalam menjerat tindak pidana tersebut meskipun terdapat kelemahan bahwa tidak disebutkan secara eksplisit pengaturan mengenai malware dan AI. Kata Kunci : Malware; Artificial Intelligence/ Kecerdasan Buatan ; Cyber Crime; UU ITE.AbstractThis study aims to determine the criminal regulation for the application of artificial intelligence in criminal  acts of malware based on criminal law in Indonesia, especially in Law number 19 of 2016 concerning amendments to Law number 11 of 2008 concerning Information and Electronic Transactions. This research is a type of normative legal research that is prescriptive in nature with the law approach (statue approach) and conceptual approach (conceptual approach). The study uses primary, secondary and related non-legal material. Technological developments have changed people’s lives, as a result of these developments the world added a dimension of life which was in harmony with the development of technological crime. The results showed that the application of AI in malware criminal acts is a category of computer-related crime due to the use of computers and AI technology as a tool in committing crimes. Criminal rules that can ensnare such acts are the Criminal Code, the Copyright Act, the TPPU Law, the Fund Transfer Act, the Company Document Law, the Ministry of Communication and Information No. 20 of 2016 and the Terrorism Law. However, the ITE Law as lex specialis and lex posterior is the most positive positive law in ensnaring these crimes despite the weakness that there is no explicit mention of the regulation regarding malware and AI.Keywords : Malware; Artifical Intelligence; Cyber Crime; ITE Law. Collapse",2 May 2020
APLIKASI ADMINISTRASI ONLINE BERBASIS ANDROID MENGGUNAKAN GOOGLE APPS SEBAGAI SARANA PELAYANAN MASYARAKAT DITENGAH PANDEMI COVID19,"Abstrak - Pandemi Covid 19 upaya untuk mencegah penyebaran virus corona termasuk pembatasan perjalanan, karantina, pemberlakuan jam malam, penundaan dan pembatalan acara, serta penutupan fasilitas. Berbagai penutupan perbatasan negara atau pembatasan penumpang yang masuk, penapisan di bandara dan stasiun kereta, serta informasi perjalanan mengenai daerah dengan transmisi lokal. Dalam hal pelayanan adnimistrasi Desa dalam keadaan normal tidak dapat dihindari kontak fisik untuk penyelesaian administrasi untuk itu peranan teknologi informasi dalam suatu instansi sangat dibutuhkan karena teknologi sudah sangat berkembang di jaman sekarang. Hal ini dapat mengurangi kontak fisik namun penyelesaian administrasi tetap berjalan lancar, kemajuan ilmu dan teknologi yang menunjang secara komputerisasi yang penting dalam membantu kegiatan kerja sehari-hari. Hampir disegala bidang membutuhkan komputer sebagai alat bantu, karena memiliki kelebihan yaitu dari segi ketelitian dan segi performa dalam pengolahan data.t ak hanya itu, Mobile Application juga memiliki layanan seperti pemrosesan bahasa, kecerdasan buatan , dan program-program standar di pekerjaan. Pokoknya layanan yang tidak memerlukan Anda untuk secara fisik berada di depan perangkat keras seperti komputer dan laptop.  Desa merupakan suatu organisasi dan sebagai bagian terkecil dari sistem pemerintahan administratif di Indonesia, dituntut untuk dapat mengikuti perkembangan teknologi dan terus meningkatkan kemampuannya didalam mengelola data administrasi kependudukan desa. 
  
Kata kunci - Desa, Administrasi, Covid-19, Mobile Aplication, Android. Collapse",11 September 2021
PEMBELAJARAN ERA DISRUPTIF MENUJU MASYARAKAT 5.0 (Sebuah Telaah Perspektif Manajemen Pendidikan),"Abstract —  The industrial revolution 4.0 era is recognized as the disruptive era. The occurrence of this era has brought about benefits as well as impacts on the erosion of human values. To reduce the negative impact and at the same time to maximize its benefits, scientists in the world led by Japanese scientists, offer the concept of society 5.0. This article aims to analyze the essence of learning in a disruptive era towards community 5.0 from the educational management perspective. The approach carried out through a review of library materials, national education policy documents, publication of research results and opinions of world leaders, examines the concept of the industrial revolution development from the start, carrying on to the industrial revolution 4.0, until the emergence of the idea of building a society 5.0. The research finding shows the need to increase the role of technology in the 4.0 industrial revolution in order to build a more prosperous and civilized order of human life. Especially for Indonesian people, it is necessary to adapt relevant learning patterns, so that they are ready to enter the era of the industrial revolution 4.0 and society 5.0. From the perspective of education management, education reform policies in eight national education standards need to be strengthened in their implementation. A new paradigm in education management based on information technology and artificial intelligence needs to be fostered to support the implementation of learning systems in the era of the industrial revolution 4.0. Key Words — Industrial Revolution, Society 5.0, Educational Management Abstrak —   Era revolusi industri 4.0 dikenal juga dengan istilah era disruptif. Kehadiran  era ini menimbulkan manfaat  dan juga dampak terhadap tergerusnya nilai-nilai kemanusiaan. Untuk mengurangi dampak negatif  dan sekaligus mengotimalkan manfaatnya, para ilmuwan di dunia yang dipelopori oleh ilmuwan Jepang, menawarkan konsep masyarakat 5.0. Artikel ini bertujuan untuk menganalisis  esensi pembelajaran di era disruptif menuju masyarakat 5.0 dalam perspektif manajemen pendidikan. Pendekatan dilakukan melalui telaah terhadap sejumah bahan pustaka, dokumen kebijakan pendidikan nasional, publikasi hasil penelitian dan pendapat para tokoh dunia,  yang mengkaji konsep perkembangan revolusi industri  tahap awal sampai dengan revolusi industry 4.0,  sampai  munculnya  gagasan membangun masyarakat 5.0. Hasil studi menunjukkan,  perlunya meningkatkan peran teknologi dalam revolusi industry 4.0 untuk membangun tatanan kehidupan manusia yang lebih sejahtera dan beradab, sebagaimana ditunjukkan dalam model masyarakat 5.0.  Secara khusus untuk masyarakat Indonesia, perlu menyesuaikan pola pembelajaran yang relevan,  agar siap memasuki era revolusi industry 4.0 dan masyarakat 5.0. Dalam perspektif manajemen pendidikan, kebijakan reformasi pendidikan dalam delapan standard nasional pendidikan perlu mendapat penguatan dalam implementasinya. Perlu dibangun paradigma  baru manajemen pendidikan yang berbasis  teknologi informasi dan kecerdasan buatan , untuk mendukung terselenggaranya system  pembelajaran di era revolusi  industry 4.0. Keywords — Revolusi Industri, Society 5.0, Manajemen Pendidikan Collapse",26 April 2020
"Sistematika Filsafat Menurut Ontologi, Epistemologi, dan Aksiologi dalam Artificial Intelligence","Artificial Intelligence (AI) has now made progress in research and development. The philosophy of science plays a big role in the advancement of AI. Understanding AI can be started by understanding aspects of ontology, epistemology, and axiology as these three things are indications of the elaboration of philosophy. Each method given to each component in AI will influence AI itself and us as users. Therefore, if AI wants to have human-level intelligence, ability, and reasoning, it requires more knowledge and insight from philosophers. Because the philosophers who had previously studied and observed so formed a philosophy. This article will present an overview of the current systematic philosophy of science with artificial intelligence (AI). 
Artificial Intelligence (AI) saat ini telah mengalami kemajuan dalam penelitian dan pengembangan. Filsafat ilmu berperan besar dalam kemajuan AI. Memahami AI dapat dimulai dengan memahami aspek ontologi, epistemologi, dan aksiologi sebagaimana ketiga hal tersebut merupakan indikasi penjabaran dari filsafat. Setiap metode yang diberikan pada setiap komponen pada AI akan memberikan pengaruh pada AI sendiri dan kita sebagai pengguna. Maka dari itu jika AI ingin memiliki kecerdasan , kemampuan, dan penalaran setingkat manusia, membutuhkan pengetahuan dan pandangan lebih dari para filsuf. Karena para filsuf yang telah lebih dahulu mempelajari dan mengamati sehingga terbentuk sebuah filsafat. Artikel ini akan menampilkan gambaran tentang sistematika filsafat ilmu dengan kecerdasan buatan (AI) saat ini. Collapse",25 August 2021
